gene_0	gene_1	sources	unbiased
70	85477	2	0
70	137735	2	0
70	142678	2	0
70	338872	1	0
70	339451	2	0
71	71	5	1
71	308	2	0
71	348	1	0
71	999	1	0
71	1029	1	0
71	1072	5	1
71	1073	5	1
71	1147	1	0
71	1488	1	0
71	1490	1	0
71	1500	1	0
71	1536	2	0
71	1773	2	0
71	1962	2	1
71	2357	2	0
71	2885	1	0
71	2934	2	0
71	3001	1	0
71	3003	1	0
71	3326	1	0
71	3551	1	0
71	3676	1	0
71	3692	3	0
71	3981	1	0
71	3983	2	0
71	4046	2	0
71	4130	2	0
71	4192	1	0
71	4214	1	0
71	4215	2	0
71	4292	3	0
71	4306	2	0
71	4640	2	0
71	4653	1	0
71	4790	1	0
71	4791	2	0
71	4792	1	0
71	4793	1	0
71	5217	3	0
71	5337	2	0
71	5339	2	0
71	5340	2	0
71	5597	1	0
71	5664	1	0
71	5800	3	0
71	5966	1	0
71	5970	1	0
71	5971	1	0
71	6456	3	0
71	6487	3	0
71	6613	1	0
71	6885	1	0
71	7114	3	0
71	7132	1	0
71	7133	1	0
71	7185	1	0
71	7186	1	0
71	7189	1	0
71	7316	1	0
71	7408	1	0
71	7429	2	0
71	8266	1	0
71	8517	1	0
71	8655	2	0
71	8717	1	0
71	8737	1	0
71	8767	1	0
71	8936	2	0
71	9020	1	0
71	9087	2	0
71	9252	1	0
71	9638	1	0
71	9641	1	0
71	9815	1	0
71	9978	1	0
71	10134	2	0
71	10397	2	0
71	10486	4	1
71	10487	3	0
71	11034	5	1
71	11035	1	0
71	11098	3	0
71	23043	1	0
71	23118	1	0
71	23421	3	0
71	27185	3	0
71	28952	2	1
71	29109	2	0
71	29124	2	0
71	54869	1	0
71	55093	2	1
71	55607	2	0
71	55729	3	0
71	56257	1	0
71	64787	1	0
71	79574	1	0
71	80705	1	0
71	85477	2	0
71	93661	2	0
71	387082	2	0
71	653361	1	0
72	87	1	0
72	409	2	0
72	2010	2	0
72	2885	1	0
72	3725	1	0
72	4292	2	0
72	6462	2	0
72	7316	1	0
72	8266	1	0
81	88	1	0
81	89	4	1
81	135	3	0
81	324	1	0
81	525	2	0
81	655	2	1
81	815	3	0
81	816	3	0
81	818	2	0
81	999	2	0
81	1029	1	0
81	1308	3	0
81	1432	1	0
81	1499	4	0
81	2099	1	0
81	2885	1	0
81	2934	2	0
81	3676	1	0
81	3688	1	0
81	3725	1	0
81	3838	1	0
81	4215	2	0
81	4703	2	0
81	4846	2	0
81	5054	2	0
81	5598	1	0
81	5777	2	0
81	5781	2	0
81	6232	1	0
81	6314	1	0
81	6517	2	0
81	6772	2	0
81	7082	2	0
81	7273	1	0
81	7295	2	0
81	7316	1	0
81	7343	2	0
81	7412	1	0
81	7414	1	0
81	7421	1	0
81	7534	2	0
81	8161	3	0
81	9124	4	1
81	9146	2	0
81	9223	2	0
81	9351	2	0
81	9636	1	0
81	9712	2	0
81	9768	1	0
81	10014	1	0
81	10537	1	0
81	10612	3	0
81	11035	1	0
81	25913	1	0
81	26278	3	0
81	51377	1	0
81	51547	1	0
81	51564	1	0
81	51778	5	1
81	54617	2	0
81	57554	3	0
81	58529	4	1
81	65125	1	0
86	396	3	0
86	1017	1	0
86	1025	1	0
86	1326	1	0
86	2130	4	1
86	2314	2	0
86	2648	1	0
86	3068	1	0
86	3621	1	0
86	4298	1	0
86	4609	2	0
86	5430	2	0
86	5970	2	0
86	5971	1	0
86	6595	2	0
86	6597	2	0
86	6598	1	0
86	6599	1	0
86	6601	1	0
86	6602	1	0
86	6603	1	0
86	6605	1	0
86	6944	1	0
86	7044	1	0
86	7157	1	0
86	7316	1	0
86	7528	1	0
86	8089	1	0
86	8289	1	0
86	8295	2	0
86	8452	1	0
86	8607	2	0
86	8815	1	0
86	9031	1	0
86	9643	1	0
86	9768	1	0
86	10445	1	0
86	10467	1	0
86	10524	2	0
86	10537	1	0
86	10847	1	0
86	10856	1	0
86	10902	1	0
86	10933	2	0
86	26122	1	0
86	26156	1	0
86	54556	2	0
86	54617	1	0
86	54891	1	0
86	55193	1	0
86	55257	2	0
86	55832	1	0
86	55929	2	0
86	57088	1	0
86	57492	1	0
86	57634	1	0
86	64431	1	0
86	64769	1	0
86	80314	1	0
86	83444	1	0
86	85403	1	0
86	93973	1	0
86	283899	1	0
86	352954	1	0
